subjid,gender,ageMonths,SC_total,SC_thinkTotal,SC_sayTotal,bds,tomS_mumKnowSopSaw,tomS_mumThinkSopTell,tomR_KnowWant,tomR_dadSayRobKnow,tomR_dadSayRobThink,tom_2orderBelief,tom_2orderTotal,exptNP_sThinkHlie,exptP_sThinkHlie,expt_order
1,Male,52,1,0,1,2,Pass,Fail,2,Fail,Fail,0,3,truth,NA,Knowledgeable
3,Male,88,6,3,3,4,Pass,Fail,2,Fail,Fail,0,3,NA,truth,Knowledgeable
4,Male,77,6,3,3,5,Pass,Fail,2,Pass,Fail,0,4,truth,lie,Knowledgeable
5,Male,71,4,1,3,5,Pass,Fail,2,Pass,Fail,0,4,lie,lie,Ignorant
6,Male,89,6,3,3,5,Pass,Fail,2,Pass,Pass,1,5,truth,lie,Ignorant
7,Male,90,6,3,3,5,Pass,Fail,2,Pass,Pass,1,5,truth,lie,Knowledgeable
8,Female,71,4,3,1,4,Pass,Fail,2,Pass,Pass,1,5,lie,lie,Ignorant
9,Male,83,6,3,3,5,Pass,Pass,2,Pass,Pass,2,6,truth,lie,Ignorant
11,Male,77,3,1,2,4,Pass,Pass,2,Pass,Fail,1,5,lie,lie,Knowledgeable
12,Male,75,6,3,3,3,Pass,NA,2,Pass,Pass,1,5,truth,lie,Knowledgeable
13,Male,54,0,0,0,3,Fail,Fail,2,Fail,Fail,0,2,lie,lie,Ignorant
14,Male,83,3,2,1,6,Pass,Fail,1,NA,Fail,0,2,truth,lie,Ignorant
15,Female,64,6,3,3,0,Pass,Fail,2,Fail,Fail,0,3,NA,lie,Ignorant
16,Female,62,4,2,2,3,Pass,Fail,2,Fail,Fail,0,3,truth,lie,Ignorant
17,Female,79,6,3,3,5,Pass,Pass,2,Pass,Fail,1,5,truth,lie,Knowledgeable
18,Female,51,6,3,3,3,Pass,Fail,2,Pass,Fail,0,4,truth,lie,Knowledgeable
19,Female,74,4,2,2,2,Fail,Fail,1,Fail,Fail,0,1,truth,lie,Ignorant
20,Male,93,6,3,3,4,Pass,NA,2,Pass,Pass,1,5,truth,lie,Knowledgeable
22,Female,51,1,1,0,0,Fail,Fail,0,NA,Fail,0,0,NA,truth,Knowledgeable
23,Female,72,0,0,0,3,Pass,Fail,2,Fail,Fail,0,3,lie,lie,Ignorant
24,Male,90,3,1,2,4,Pass,Fail,2,Pass,Fail,0,4,truth,lie,Ignorant
25,Male,70,5,2,3,4,Pass,Fail,2,Pass,Fail,0,4,truth,lie,Knowledgeable
26,Female,75,5,3,2,3,Pass,Pass,2,Pass,Pass,2,6,lie,lie,Knowledgeable
28,Male,75,0,0,0,4,Pass,Fail,2,Pass,Fail,0,4,lie,lie,Ignorant
30,Female,79,4,2,2,3,Pass,Pass,2,Pass,Fail,1,5,lie,lie,Knowledgeable
31,Female,68,6,3,3,4,Pass,NA,2,Pass,Fail,0,4,NA,lie,Ignorant
32,Male,88,6,3,3,5,Pass,Pass,2,Pass,Fail,1,5,lie,NA,Knowledgeable
33,Male,80,5,3,2,4,Pass,Fail,2,Pass,Fail,0,4,truth,lie,Ignorant
34,Male,48,5,2,3,0,Fail,Fail,0,NA,Fail,0,0,NA,truth,Knowledgeable
35,Male,66,2,1,1,3,Pass,Fail,2,Pass,Fail,0,4,truth,lie,Knowledgeable
36,Female,66,5,3,2,5,Pass,Fail,2,Pass,Fail,0,4,truth,lie,Ignorant
37,Female,72,5,3,2,3,Pass,Pass,2,Pass,Fail,1,5,truth,lie,Ignorant
38,Female,73,6,3,3,4,Pass,Fail,2,Pass,Fail,0,4,truth,lie,Knowledgeable
39,Female,51,3,1,2,0,Pass,Fail,2,Pass,Fail,0,4,lie,lie,Ignorant
40,Male,61,5,3,2,3,Pass,Fail,2,Pass,Fail,0,4,lie,lie,Knowledgeable
41,Male,66,5,3,2,3,Pass,NA,2,Fail,Fail,0,3,lie,lie,Ignorant
43,Male,51,2,0,2,2,Fail,Pass,1,Fail,Fail,1,2,lie,lie,Ignorant
45,Female,93,5,2,3,4,Pass,Pass,2,Pass,Fail,1,5,truth,lie,Knowledgeable
46,Female,58,6,3,3,3,Pass,Pass,2,Pass,Fail,1,5,truth,lie,Knowledgeable
47,Female,76,3,1,2,3,Pass,Fail,2,Pass,Fail,0,4,lie,lie,Ignorant
48,Male,86,5,3,2,5,Pass,Pass,2,Pass,Pass,2,6,truth,lie,Knowledgeable
50,Female,79,6,3,3,4,Pass,NA,2,Pass,Pass,1,5,truth,lie,Ignorant
53,Male,60,6,3,3,4,Pass,Fail,2,Pass,Fail,0,4,truth,lie,Knowledgeable
54,Female,87,6,3,3,4,Pass,Fail,2,Pass,Fail,0,4,truth,lie,Knowledgeable
55,Male,48,3,1,2,2,NA,NA,2,NA,NA,0,2,lie,NA,Knowledgeable
56,Female,95,6,3,3,4,Pass,NA,2,Pass,Fail,0,4,lie,lie,Ignorant
57,Male,79,5,2,3,4,Pass,Fail,2,Pass,Fail,0,4,lie,lie,Knowledgeable
58,Female,53,3,2,1,0,Pass,Fail,2,Pass,Fail,0,4,NA,lie,Ignorant
59,Male,48,6,3,3,3,Pass,Pass,2,Pass,Fail,1,5,lie,NA,Knowledgeable
60,Female,48,0,0,0,0,Pass,Fail,1,Fail,Fail,0,2,lie,NA,Knowledgeable
61,Female,79,6,3,3,2,Pass,Fail,2,Pass,Fail,0,4,truth,lie,Ignorant
62,Male,74,6,3,3,2,Pass,Fail,2,Pass,Fail,0,4,NA,lie,Ignorant
63,Male,92,2,1,1,3,Pass,NA,2,Pass,Fail,0,4,truth,lie,Ignorant
64,Female,82,6,3,3,5,Pass,Fail,2,Pass,Pass,1,5,lie,lie,Knowledgeable
65,Male,58,6,3,3,3,Pass,Fail,2,Pass,Fail,0,4,lie,truth,Knowledgeable
66,Male,59,3,1,2,4,Pass,Fail,1,NA,NA,0,2,lie,NA,Knowledgeable
67,Male,52,2,1,1,3,NA,NA,1,NA,Fail,0,1,lie,lie,Knowledgeable
68,Male,64,6,3,3,3,Pass,Fail,2,Pass,Pass,1,5,lie,lie,Ignorant
69,Female,87,6,3,3,3,Pass,Fail,2,NA,Fail,0,3,lie,lie,Knowledgeable
70,Female,48,0,0,0,0,Fail,Fail,2,Fail,Fail,0,2,lie,NA,Ignorant
71,Female,90,6,3,3,4,Fail,Fail,2,Pass,Fail,0,3,lie,lie,Ignorant
72,Male,51,1,0,1,3,Fail,NA,1,Pass,Fail,0,2,lie,NA,Ignorant
73,Female,51,1,1,0,3,Fail,NA,1,NA,Fail,0,1,lie,lie,Ignorant
74,Male,59,6,3,3,4,Fail,Fail,1,NA,Fail,0,1,lie,lie,Knowledgeable
75,Male,64,3,2,1,2,Fail,Fail,2,Pass,Fail,0,3,lie,lie,Ignorant
78,Female,65,6,3,3,3,Pass,Pass,1,NA,Fail,1,3,truth,NA,Ignorant
79,Male,67,0,0,0,2,Fail,Fail,2,Fail,Fail,0,2,lie,lie,Ignorant
81,Male,71,6,3,3,3,Pass,Pass,2,Pass,Fail,1,5,lie,lie,Ignorant
84,Male,55,5,2,3,0,Pass,NA,2,Pass,Fail,0,4,lie,NA,Knowledgeable
85,Female,59,4,1,3,4,Pass,Fail,2,Pass,Fail,0,4,lie,lie,Knowledgeable
86,Female,59,6,3,3,3,Pass,NA,2,Pass,Fail,0,4,lie,lie,Knowledgeable
87,Female,59,3,1,2,0,Pass,Fail,2,Pass,Fail,0,4,lie,lie,Knowledgeable
